[Discrete(21), Discrete(21)]
There is 2 adversaries
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -158.70814598665382, time: 56.8
steps: 49975, episodes: 2000, mean episode reward: -285.8500497710106, time: 65.711
steps: 74975, episodes: 3000, mean episode reward: -111.72111624410597, time: 65.088
steps: 99975, episodes: 4000, mean episode reward: -110.90115860364007, time: 64.409
steps: 124975, episodes: 5000, mean episode reward: -110.24701264091698, time: 64.229
steps: 149975, episodes: 6000, mean episode reward: -114.979780955433, time: 63.878
steps: 174975, episodes: 7000, mean episode reward: -115.07097627528877, time: 64.913
steps: 199975, episodes: 8000, mean episode reward: -106.79355778167854, time: 64.49
steps: 224975, episodes: 9000, mean episode reward: -104.61179075260402, time: 64.981
steps: 249975, episodes: 10000, mean episode reward: -104.4158055755641, time: 65.442
steps: 274975, episodes: 11000, mean episode reward: -102.02473716700251, time: 65.757
steps: 299975, episodes: 12000, mean episode reward: -97.83234293538132, time: 65.682
steps: 324975, episodes: 13000, mean episode reward: -104.32578681401618, time: 64.155
steps: 349975, episodes: 14000, mean episode reward: -93.82436433101437, time: 63.935
steps: 374975, episodes: 15000, mean episode reward: -97.25511718144519, time: 65.482
steps: 399975, episodes: 16000, mean episode reward: -99.20955452461888, time: 64.305
steps: 424975, episodes: 17000, mean episode reward: -97.80120005456565, time: 64.393
steps: 449975, episodes: 18000, mean episode reward: -106.0331203036948, time: 64.492
steps: 474975, episodes: 19000, mean episode reward: -107.52665697609662, time: 65.017
steps: 499975, episodes: 20000, mean episode reward: -100.974173230046, time: 64.95
steps: 524975, episodes: 21000, mean episode reward: -99.5032935693402, time: 64.61
steps: 549975, episodes: 22000, mean episode reward: -98.99977181572798, time: 64.267
steps: 574975, episodes: 23000, mean episode reward: -105.07632848765772, time: 64.023
steps: 599975, episodes: 24000, mean episode reward: -107.95584424982235, time: 64.089
steps: 624975, episodes: 25000, mean episode reward: -105.57744406087302, time: 64.006
steps: 649975, episodes: 26000, mean episode reward: -104.05751544091602, time: 64.167
steps: 674975, episodes: 27000, mean episode reward: -104.95145799410506, time: 65.649
steps: 699975, episodes: 28000, mean episode reward: -100.00221638016954, time: 66.014
steps: 724975, episodes: 29000, mean episode reward: -100.5321828264766, time: 64.355
steps: 749975, episodes: 30000, mean episode reward: -102.44254484639696, time: 64.044
steps: 774975, episodes: 31000, mean episode reward: -101.73466369327969, time: 64.866
steps: 799975, episodes: 32000, mean episode reward: -97.21260864219238, time: 65.105
steps: 824975, episodes: 33000, mean episode reward: -98.57104235387445, time: 64.302
steps: 849975, episodes: 34000, mean episode reward: -96.17839096069103, time: 65.019
steps: 874975, episodes: 35000, mean episode reward: -101.16340183606522, time: 64.929
steps: 899975, episodes: 36000, mean episode reward: -100.34287040561225, time: 64.289
steps: 924975, episodes: 37000, mean episode reward: -100.19265718683137, time: 65.034
steps: 949975, episodes: 38000, mean episode reward: -100.13723214441913, time: 65.215
steps: 974975, episodes: 39000, mean episode reward: -98.30066136161945, time: 64.471
steps: 999975, episodes: 40000, mean episode reward: -100.52477519237233, time: 64.94
steps: 1024975, episodes: 41000, mean episode reward: -105.20441034839145, time: 65.134
steps: 1049975, episodes: 42000, mean episode reward: -109.990693557642, time: 65.054
steps: 1074975, episodes: 43000, mean episode reward: -110.3380157737063, time: 65.596
steps: 1099975, episodes: 44000, mean episode reward: -110.15336379226827, time: 65.691
steps: 1124975, episodes: 45000, mean episode reward: -109.03874034037047, time: 65.553
steps: 1149975, episodes: 46000, mean episode reward: -113.05696806543463, time: 66.118
steps: 1174975, episodes: 47000, mean episode reward: -114.74182713305028, time: 65.34
steps: 1199975, episodes: 48000, mean episode reward: -110.62121417083027, time: 65.958
steps: 1224975, episodes: 49000, mean episode reward: -110.24777085820834, time: 65.578
steps: 1249975, episodes: 50000, mean episode reward: -104.8462014493528, time: 65.42
steps: 1274975, episodes: 51000, mean episode reward: -104.58750688308605, time: 66.16
steps: 1299975, episodes: 52000, mean episode reward: -106.0311741298311, time: 65.034
steps: 1324975, episodes: 53000, mean episode reward: -108.16978805856925, time: 65.716
steps: 1349975, episodes: 54000, mean episode reward: -105.7921820892534, time: 65.887
steps: 1374975, episodes: 55000, mean episode reward: -111.94888981731118, time: 66.486
steps: 1399975, episodes: 56000, mean episode reward: -110.57158905970908, time: 64.452
steps: 1424975, episodes: 57000, mean episode reward: -111.25054993798837, time: 65.694
steps: 1449975, episodes: 58000, mean episode reward: -103.78548857718083, time: 65.551
steps: 1474975, episodes: 59000, mean episode reward: -104.38084411709161, time: 65.909
steps: 1499975, episodes: 60000, mean episode reward: -102.48704245213803, time: 64.952
...Finished total of 60001 episodes.
